DateTime,MV Ratio,Price
2022-01-10T00:00:00.000Z,1.6,42687.02
2022-01-17T00:00:00.000Z,1.52,39663.71
2022-01-24T00:00:00.000Z,1.41,36982.28
2022-01-31T00:00:00.000Z,1.47,39107.22
2022-02-07T00:00:00.000Z,1.63,43354.08
2022-02-14T00:00:00.000Z,1.58,41619.15
2022-02-21T00:00:00.000Z,1.44,38182.38
2022-02-28T00:00:00.000Z,1.56,41486.09
2022-03-07T00:00:00.000Z,1.47,39258.39
2022-03-14T00:00:00.000Z,1.52,40554.43
2022-03-21T00:00:00.000Z,1.6,43356.89
2022-03-28T00:00:00.000Z,1.72,46708.15
2022-04-04T00:00:00.000Z,1.64,44023.46
2022-04-11T00:00:00.000Z,1.5,40376.95
2022-04-18T00:00:00.000Z,1.5,40447.49
2022-04-25T00:00:00.000Z,1.45,38901.58
2022-05-02T00:00:00.000Z,1.39,37047.83
2022-05-09T00:00:00.000Z,1.14,30164.35
2022-05-16T00:00:00.000Z,1.13,29761.21
2022-05-23T00:00:00.000Z,1.12,29218.96
2022-05-30T00:00:00.000Z,1.16,30395.42
2022-06-06T00:00:00.000Z,1.15,29707.98
2022-06-13T00:00:00.000Z,0.859526,21248.99
2022-06-20T00:00:00.000Z,0.823861,20850.79
2022-06-27T00:00:00.000Z,0.798587,19926.55
2022-07-04T00:00:00.000Z,0.831141,20780.35
2022-07-11T00:00:00.000Z,0.822649,20407.15
2022-07-18T00:00:00.000Z,0.915519,22739.52
2022-07-25T00:00:00.000Z,0.925805,22884.53
2022-08-01T00:00:00.000Z,0.938607,23074.48
2022-08-08T00:00:00.000Z,0.97108,24021.83
2022-08-15T00:00:00.000Z,0.938337,22871.53
2022-08-22T00:00:00.000Z,0.864244,20929.93
2022-08-29T00:00:00.000Z,0.818805,19976.75
2022-09-05T00:00:00.000Z,0.824406,20149.44
2022-09-12T00:00:00.000Z,0.849745,20387.72
2022-09-19T00:00:00.000Z,0.793774,19010.14
2022-09-26T00:00:00.000Z,0.800527,19310.75
2022-10-03T00:00:00.000Z,0.82013,19732.72
2022-10-10T00:00:00.000Z,0.800893,19170.18
2022-10-17T00:00:00.000Z,0.803829,19244
2022-10-24T00:00:00.000Z,0.844073,20317.35
2022-10-31T00:00:00.000Z,0.862159,20691.33
2022-11-07T00:00:00.000Z,0.765741,17739.97
2022-11-14T00:00:00.000Z,0.712756,16628.52
2022-11-21T00:00:00.000Z,0.70643,16335.34
2022-11-28T00:00:00.000Z,0.726089,16778.27
2022-12-05T00:00:00.000Z,0.743072,17089.5
2022-12-12T00:00:00.000Z,0.751357,17240.38
2022-12-19T00:00:00.000Z,0.733137,16756.11
2022-12-26T00:00:00.000Z,0.732155,16635.98
2023-01-02T00:00:00.000Z,0.739934,16826.2
2023-01-09T00:00:00.000Z,0.815688,18779.82
2023-01-16T00:00:00.000Z,0.945375,21657.25
2023-01-23T00:00:00.000Z,1.01,23054.67
2023-01-30T00:00:00.000Z,1.09,23330.93
2023-02-06T00:00:00.000Z,1.14,22387.33
2023-02-13T00:00:00.000Z,1.18,23533.7
2023-02-20T00:00:00.000Z,1.21,23884.02
2023-02-27T00:00:00.000Z,1.17,23053.22
2023-03-06T00:00:00.000Z,1.09,21330.9
2023-03-13T00:00:00.000Z,1.27,25584.41
2023-03-20T00:00:00.000Z,1.4,27811.13
2023-03-27T00:00:00.000Z,1.41,27947.59
2023-04-03T00:00:00.000Z,1.42,28052.02
2023-04-10T00:00:00.000Z,1.51,30100.85
2023-04-17T00:00:00.000Z,1.45,28648.93
2023-04-24T00:00:00.000Z,1.43,28737.62
2023-05-01T00:00:00.000Z,1.45,28852.99
2023-05-08T00:00:00.000Z,1.37,27265.9
2023-05-15T00:00:00.000Z,1.35,27024.72
2023-05-22T00:00:00.000Z,1.33,26822.28
2023-05-29T00:00:00.000Z,1.36,27344.74
2023-06-05T00:00:00.000Z,1.31,26345.58
2023-06-12T00:00:00.000Z,1.28,25915.6
2023-06-19T00:00:00.000Z,1.43,29367.07
2023-06-26T00:00:00.000Z,1.5,30437.27
2023-07-03T00:00:00.000Z,1.5,30537.65
