DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2010-03-01T00:00:00.000Z,196,227,32,
2010-03-02T00:00:00.000Z,189,233,40,
2010-03-03T00:00:00.000Z,152,260,106,
2010-03-04T00:00:00.000Z,186,575,387,
2010-03-05T00:00:00.000Z,172,175,1,
2010-03-06T00:00:00.000Z,178,274,92,
2010-03-07T00:00:00.000Z,180,297,115,
2010-03-08T00:00:00.000Z,128,313,181,
2010-03-09T00:00:00.000Z,147,229,81,
2010-03-10T00:00:00.000Z,168,211,41,
2010-03-11T00:00:00.000Z,134,200,64,
2010-03-12T00:00:00.000Z,121,130,7,
2010-03-13T00:00:00.000Z,154,190,36,
2010-03-14T00:00:00.000Z,125,134,8,
2010-03-15T00:00:00.000Z,143,145,5,
2010-03-16T00:00:00.000Z,129,154,25,
2010-03-17T00:00:00.000Z,138,164,25,
2010-03-18T00:00:00.000Z,148,225,81,
2010-03-19T00:00:00.000Z,159,289,127,
2010-03-20T00:00:00.000Z,202,273,70,
2010-03-21T00:00:00.000Z,185,193,9,
2010-03-22T00:00:00.000Z,181,224,40,
2010-03-23T00:00:00.000Z,212,289,76,
2010-03-24T00:00:00.000Z,177,208,31,
2010-03-25T00:00:00.000Z,194,539,343,
2010-03-26T00:00:00.000Z,199,280,75,
2010-03-27T00:00:00.000Z,180,206,23,
2010-03-28T00:00:00.000Z,186,207,17,
2010-03-29T00:00:00.000Z,196,268,68,
2010-03-30T00:00:00.000Z,216,226,11,
2010-03-31T00:00:00.000Z,211,238,24,
2010-04-01T00:00:00.000Z,168,199,28,
2010-04-02T00:00:00.000Z,156,179,20,
2010-04-03T00:00:00.000Z,164,192,24,
2010-04-04T00:00:00.000Z,173,241,68,
2010-04-05T00:00:00.000Z,174,307,136,
2010-04-06T00:00:00.000Z,163,267,95,
2010-04-07T00:00:00.000Z,198,303,101,
2010-04-08T00:00:00.000Z,191,217,23,
2010-04-09T00:00:00.000Z,225,320,103,
2010-04-10T00:00:00.000Z,288,556,280,
2010-04-11T00:00:00.000Z,247,403,163,
2010-04-12T00:00:00.000Z,223,355,140,
2010-04-13T00:00:00.000Z,193,241,37,
2010-04-14T00:00:00.000Z,206,312,99,
2010-04-15T00:00:00.000Z,275,927,683,
2010-04-16T00:00:00.000Z,219,434,209,
2010-04-17T00:00:00.000Z,233,305,71,
2010-04-18T00:00:00.000Z,3345,3468,3195,
2010-04-19T00:00:00.000Z,253,546,291,
2010-04-20T00:00:00.000Z,220,426,202,
2010-04-21T00:00:00.000Z,237,375,147,
2010-04-22T00:00:00.000Z,179,233,51,
2010-04-23T00:00:00.000Z,187,243,71,
2010-04-24T00:00:00.000Z,183,285,101,
2010-04-25T00:00:00.000Z,172,344,162,
2010-04-26T00:00:00.000Z,190,278,86,
2010-04-27T00:00:00.000Z,210,273,68,
2010-04-28T00:00:00.000Z,199,323,119,
2010-04-29T00:00:00.000Z,160,217,48,
2010-04-30T00:00:00.000Z,160,207,39,
2010-05-01T00:00:00.000Z,192,264,64,
2010-05-02T00:00:00.000Z,161,206,40,
2010-05-03T00:00:00.000Z,168,279,110,
2010-05-04T00:00:00.000Z,149,325,169,
2010-05-05T00:00:00.000Z,145,296,136,
2010-05-06T00:00:00.000Z,155,441,275,
2010-05-07T00:00:00.000Z,138,234,86,
2010-05-08T00:00:00.000Z,165,446,276,
2010-05-09T00:00:00.000Z,169,256,93,
2010-05-10T00:00:00.000Z,136,297,149,
2010-05-11T00:00:00.000Z,116,160,37,
2010-05-12T00:00:00.000Z,133,262,114,
2010-05-13T00:00:00.000Z,141,257,105,
2010-05-14T00:00:00.000Z,138,249,102,
2010-05-15T00:00:00.000Z,94,160,56,
2010-05-16T00:00:00.000Z,117,169,46,
2010-05-17T00:00:00.000Z,152,291,132,
2010-05-18T00:00:00.000Z,192,303,123,
2010-05-19T00:00:00.000Z,193,312,123,
2010-05-20T00:00:00.000Z,217,287,70,
2010-05-21T00:00:00.000Z,192,333,136,
