"DateTime","Netflow","Price"
"2016-01-18 00:00:00",31864.29,393.08
"2016-01-25 00:00:00",73284.94,384.9
"2016-02-01 00:00:00",55206.48,377.7
"2016-02-08 00:00:00",40961.32,382.51
"2016-02-15 00:00:00",32701.99,418.41
"2016-02-22 00:00:00",4895.1,426.56
"2016-02-29 00:00:00",118388.41,419.42
"2016-03-07 00:00:00",22992.33,413.28
"2016-03-14 00:00:00",2951.45,412.61
"2016-03-21 00:00:00",223404.7,415.54
"2016-03-28 00:00:00",-30170.512861,416.51
"2016-04-04 00:00:00",9320.73,419.22
"2016-04-11 00:00:00",-7170.887691,424.94
"2016-04-18 00:00:00",2313.36,441.31
"2016-04-25 00:00:00",-27869.482742,453.53
"2016-05-02 00:00:00",68892,450.95
"2016-05-09 00:00:00",-1267.018483,455.24
"2016-05-16 00:00:00",52151.69,448.07
"2016-05-23 00:00:00",238335.83,467.4
"2016-05-30 00:00:00",42469.94,547.55
"2016-06-06 00:00:00",55487.9,584.96
"2016-06-13 00:00:00",18085.74,716.83
"2016-06-20 00:00:00",56850.38,655.81
"2016-06-27 00:00:00",76453.55,656.8
"2016-07-04 00:00:00",103768.9,653.42
"2016-07-11 00:00:00",110993.28,659.83
"2016-07-18 00:00:00",93812.79,662.47
"2016-07-25 00:00:00",32385.99,651.65
"2016-08-01 00:00:00",73232.34,573.77
"2016-08-08 00:00:00",-53384.498521,586.42
"2016-08-15 00:00:00",-11916.269787,574.58
"2016-08-22 00:00:00",17410.79,578.72
"2016-08-29 00:00:00",91006.94,589.8
"2016-09-05 00:00:00",60689.26,614.65
"2016-09-12 00:00:00",38659.39,608.01
"2016-09-19 00:00:00",32569.37,602.66
"2016-09-26 00:00:00",59476.95,606.51
"2016-10-03 00:00:00",55454.29,612.72
"2016-10-10 00:00:00",53491.88,633.01
"2016-10-17 00:00:00",73123.08,637.56
"2016-10-24 00:00:00",25924.23,676.93
"2016-10-31 00:00:00",41478.77,706.27
"2016-11-07 00:00:00",21298.78,710.34
"2016-11-14 00:00:00",-3668.674026,728.23
"2016-11-21 00:00:00",41040.54,736.46
"2016-11-28 00:00:00",34425.06,749.33
"2016-12-05 00:00:00",-5159.021217,764.88
"2016-12-12 00:00:00",-14875.890713,779.69
"2016-12-19 00:00:00",1452.3,844.72
"2016-12-26 00:00:00",23282.67,944.49
"2017-01-02 00:00:00",20759.11,975.67
"2017-01-09 00:00:00",9979.12,836.3
"2017-01-16 00:00:00",17642.95,881.93
"2017-01-23 00:00:00",2913.79,911.14
"2017-01-30 00:00:00",2645.28,981.41
"2017-02-06 00:00:00",4177.25,1010.98
"2017-02-13 00:00:00",-10037.080099,1023.33
"2017-02-20 00:00:00",18889.65,1125
"2017-02-27 00:00:00",39999.9,1228.19
"2017-03-06 00:00:00",18575.28,1193.52
"2017-03-13 00:00:00",36610.57,1150.78
"2017-03-20 00:00:00",64511.7,1017.11
"2017-03-27 00:00:00",78622.92,1050.96
"2017-04-03 00:00:00",14851.29,1160.79
"2017-04-10 00:00:00",-14529.419139,1170.39
"2017-04-17 00:00:00",-43795.671067,1221.07
"2017-04-24 00:00:00",4135.75,1298.75
"2017-05-01 00:00:00",50619.65,1487.88
"2017-05-08 00:00:00",-9519.141996,1714.5
"2017-05-15 00:00:00",13994.16,1862.21
"2017-05-22 00:00:00",81281.27,2258.82
"2017-05-29 00:00:00",22162.57,2367.46
"2017-06-05 00:00:00",8438.34,2786.04
"2017-06-12 00:00:00",31487.04,2563.04
"2017-06-19 00:00:00",10434.59,2659.59
"2017-06-26 00:00:00",46405.2,2495.73
"2017-07-03 00:00:00",49675.54,2572.28
"2017-07-10 00:00:00",47270.73,2252.81
"2017-07-17 00:00:00",17402.49,2510.54
"2017-07-24 00:00:00",202058.4,2680.99
"2017-07-31 00:00:00",473514.19,2898.7
"2017-08-07 00:00:00",99527.3,3548.02
"2017-08-14 00:00:00",41380.02,4165.17
"2017-08-21 00:00:00",25679.52,4196.23
"2017-08-28 00:00:00",32350.11,4588.25
"2017-09-04 00:00:00",52432.22,4375.31
"2017-09-11 00:00:00",65692.34,3826.45
"2017-09-18 00:00:00",-5513.324189,3802.46
"2017-09-25 00:00:00",110843.36,4104.75
"2017-10-02 00:00:00",36741.54,4365.03
"2017-10-09 00:00:00",66111.92,5206.4
"2017-10-16 00:00:00",28781.12,5727.07
"2017-10-23 00:00:00",-6003.532743,5788.28
"2017-10-30 00:00:00",23405.95,6835.21
"2017-11-06 00:00:00",47123.8,6904.8
"2017-11-13 00:00:00",43112.21,7241.05
"2017-11-20 00:00:00",-11401.866147,8319.55
"2017-11-27 00:00:00",61981.87,10243.69
"2017-12-04 00:00:00",56377.19,13656.86
"2017-12-11 00:00:00",238860.81,17292.75
"2017-12-18 00:00:00",17629.54,15786.45
"2017-12-25 00:00:00",69685.68,14244.84
"2018-01-01 00:00:00",120605.07,15227.3
"2018-01-08 00:00:00",63888.16,14203.35
"2018-01-15 00:00:00",84394.25,11866.17
"2018-01-22 00:00:00",24701.55,11146.74
"2018-01-29 00:00:00",11911.13,9649.47
"2018-02-05 00:00:00",146725.65,7939.09
"2018-02-12 00:00:00",179884.13,9622.91
"2018-02-19 00:00:00",116900.38,10424.18
"2018-02-26 00:00:00",30271.21,10771.62
"2018-03-05 00:00:00",18361.74,9931.43
"2018-03-12 00:00:00",6187.85,8485
"2018-03-19 00:00:00",70181.77,8693.13
"2018-03-26 00:00:00",76961.34,7470.01
"2018-04-02 00:00:00",49828.23,7030.92
"2018-04-09 00:00:00",55380.64,7472.14
